"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"05.05.2018","818,33","785,29","830,03","782,18","1,00M","4,22%"
"04.05.2018","785,20","778,97","806,90","760,10","1,24M","0,80%"
"03.05.2018","778,95","688,23","788,61","686,79","1,55M","13,19%"
"02.05.2018","688,15","671,31","690,97","664,29","873,98K","2,52%"
"01.05.2018","671,26","670,12","674,36","630,33","1,03M","0,18%"
"30.04.2018","670,07","689,83","693,85","664,03","913,86K","-2,87%"
"29.04.2018","689,90","683,49","700,05","669,15","856,12K","0,94%"
"28.04.2018","683,49","643,96","693,79","640,92","871,55K","6,14%"
"27.04.2018","643,97","661,65","685,54","641,84","1,06M","-2,78%"
"26.04.2018","662,36","617,37","665,20","600,69","1,37M","7,29%"
"25.04.2018","617,36","702,94","703,25","594,98","2,72M","-12,18%"
"24.04.2018","703,02","644,08","711,74","644,05","1,48M","9,14%"
"23.04.2018","644,13","622,01","648,58","619,81","859,64K","3,52%"
"22.04.2018","622,23","605,58","643,58","591,78","1,02M","2,75%"
"21.04.2018","605,59","617,10","623,86","574,73","1,23M","-1,86%"
"20.04.2018","617,04","567,70","620,58","558,27","1,42M","8,73%"
"19.04.2018","567,49","525,74","570,15","522,15","1,04M","7,96%"
"18.04.2018","525,66","503,24","526,41","502,02","759,15K","4,47%"
"17.04.2018","503,19","511,75","520,86","501,73","826,71K","-1,69%"
"16.04.2018","511,82","533,89","537,32","498,87","1,03M","-4,14%"
"15.04.2018","533,90","502,52","534,18","502,52","988,29K","6,24%"
"14.04.2018","502,52","494,36","514,14","486,89","924,64K","1,83%"
"13.04.2018","493,48","494,25","528,71","482,19","1,67M","-0,11%"
"12.04.2018","494,03","430,13","498,13","414,07","1,86M","14,85%"
"11.04.2018","430,14","415,43","433,25","412,35","827,17K","3,54%"
"10.04.2018","415,45","399,04","417,84","391,81","709,22K","4,11%"
"09.04.2018","399,05","400,67","430,85","388,05","1,30M","-0,41%"
"08.04.2018","400,71","384,85","403,71","384,85","569,26K","4,12%"
"07.04.2018","384,87","369,97","394,66","369,41","600,40K","4,03%"
"06.04.2018","369,97","381,69","385,70","363,83","700,80K","-3,03%"
"05.04.2018","381,52","378,62","386,91","367,21","903,27K","0,75%"
