"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"23.05.2018","581.04","640.00","649.49","579.04","354.20K","-9.28%"
"22.05.2018","640.51","696.51","698.11","638.28","202.52K","-7.99%"
"21.05.2018","696.13","715.50","719.68","686.74","84.90K","-2.71%"
"20.05.2018","715.50","695.62","722.64","687.44","116.42K","2.82%"
"19.05.2018","695.88","693.61","717.73","682.07","108.11K","0.33%"
"18.05.2018","693.60","667.84","694.75","657.59","148.10K","3.86%"
"17.05.2018","667.84","706.57","718.90","660.75","151.28K","-5.52%"
"16.05.2018","706.89","705.07","709.99","659.00","182.20K","0.26%"
"15.05.2018","705.06","727.42","739.29","694.97","174.35K","-3.07%"
"14.05.2018","727.41","728.83","742.32","685.53","287.31K","-0.19%"
"13.05.2018","728.78","683.44","740.00","668.82","205.65K","6.75%"
"12.05.2018","682.69","677.98","690.43","637.13","267.20K","0.69%"
"11.05.2018","677.98","723.25","736.16","666.00","347.93K","-6.28%"
"10.05.2018","723.39","751.86","768.01","722.79","174.17K","-3.79%"
"09.05.2018","751.87","747.18","760.32","710.06","191.07K","-0.28%"
"08.05.2018","754.00","752.39","775.49","720.33","235.60K","0.25%"
"07.05.2018","752.14","794.17","797.96","692.28","662.51K","-5.25%"
"06.05.2018","793.79","819.68","838.00","754.93","235.79K","-3.16%"
"05.05.2018","819.69","784.65","830.00","782.05","193.96K","4.35%"
"04.05.2018","785.52","779.38","808.72","760.87","253.57K","0.79%"
"03.05.2018","779.39","688.00","790.00","687.07","383.79K","13.29%"
"02.05.2018","687.99","671.45","692.00","662.77","167.63K","2.53%"
"01.05.2018","671.01","670.35","675.17","628.02","221.00K","0.15%"
"30.04.2018","670.00","690.89","694.47","663.43","165.25K","-2.89%"
"29.04.2018","689.93","683.27","700.00","663.83","161.27K","0.97%"
"28.04.2018","683.27","643.20","694.34","640.25","185.22K","6.18%"
"27.04.2018","643.49","661.20","686.04","640.94","231.49K","-2.72%"
"26.04.2018","661.51","616.32","666.00","600.11","272.43K","7.09%"
"25.04.2018","617.70","702.99","703.60","596.99","674.54K","-12.13%"
"24.04.2018","702.98","643.97","711.88","643.81","335.69K","9.16%"
"23.04.2018","643.98","621.00","643.98","619.40","166.77K","3.56%"
"22.04.2018","621.85","604.69","643.74","591.38","206.38K","2.73%"
"21.04.2018","605.35","616.36","624.59","576.00","231.23K","-1.83%"
"20.04.2018","616.65","566.92","621.51","558.04","274.75K","8.85%"
"19.04.2018","566.53","525.87","569.98","522.21","211.20K","7.80%"
"18.04.2018","525.55","503.14","526.89","501.87","132.76K","4.46%"
"17.04.2018","503.13","511.28","522.00","501.50","156.51K","-1.60%"
"16.04.2018","511.29","534.03","537.33","499.33","219.55K","-4.26%"
"15.04.2018","534.04","502.43","534.18","502.43","242.20K","6.32%"
"14.04.2018","502.28","495.35","514.93","486.94","187.57K","1.64%"
"13.04.2018","494.16","493.55","528.36","482.23","411.86K","0.24%"
"12.04.2018","493.00","430.00","498.70","413.65","392.46K","14.72%"
"11.04.2018","429.74","415.71","433.14","412.13","176.17K","3.52%"
"10.04.2018","415.12","398.84","417.90","391.00","146.65K","4.09%"
"09.04.2018","398.79","400.33","430.73","387.31","329.86K","-0.39%"
"08.04.2018","400.34","384.16","404.07","384.16","134.99K","4.21%"
"07.04.2018","384.16","369.74","394.59","368.85","143.72K","3.90%"
"06.04.2018","369.73","380.99","385.44","363.03","151.02K","-2.95%"
"05.04.2018","380.98","378.00","387.10","366.12","182.50K","0.79%"
"04.04.2018","377.99","415.41","416.54","369.82","256.60K","-9.01%"
"03.04.2018","415.43","386.16","417.88","379.83","223.28K","7.76%"
"02.04.2018","385.50","378.68","393.99","375.26","196.17K","1.80%"
"01.04.2018","378.67","393.37","398.84","358.01","325.75K","-3.64%"
"31.03.2018","392.97","393.08","418.50","389.00","273.24K","-0.03%"
"30.03.2018","393.09","384.10","411.12","364.66","501.96K","2.34%"
"29.03.2018","384.11","445.37","448.00","379.60","470.08K","-13.75%"
"28.03.2018","445.37","448.19","465.52","439.99","165.08K","-0.55%"
"27.03.2018","447.85","485.20","491.35","446.10","310.88K","-7.66%"
"26.03.2018","485.00","522.41","525.37","466.90","224.43K","-7.16%"
"25.03.2018","522.41","519.05","535.65","513.06","81.71K","0.70%"
"24.03.2018","518.80","543.86","545.24","518.00","108.76K","-4.51%"
"23.03.2018","543.28","539.20","543.66","505.72","193.13K","0.76%"
"22.03.2018","539.19","559.22","577.27","515.36","181.65K","-3.72%"
"21.03.2018","560.04","556.38","590.00","544.59","185.47K","0.66%"
"20.03.2018","556.38","555.00","566.28","516.09","226.63K","0.25%"
"19.03.2018","554.99","536.73","557.99","514.95","346.87K","3.40%"
"18.03.2018","536.73","548.82","560.99","453.65","661.85K","-2.23%"
"17.03.2018","549.00","598.77","609.36","543.30","141.33K","-8.43%"
"16.03.2018","599.56","609.91","626.04","584.50","133.52K","-1.70%"
"15.03.2018","609.90","610.91","619.82","568.29","223.87K","-0.17%"
"14.03.2018","610.92","689.10","702.41","585.34","205.41K","-11.27%"
